,BATF,BCL6,CEBPA,CEBPB,E2F1,ETS1,FOS,FOXP3,GATA1,GATA3,HIF1A,IRF1,IRF4,IRF8,JUN,LEF1,MYC,NFE2L2,NFKB1,NR3C1,PAX5,PRDM1,RELA,RUNX1,RUNX3,SMAD3,SPI1,STAT1,STAT4,TBX21,TCF7,TP53,disease
C2P21,0.08265719207579673,0.3216860465116279,0.10486434108527132,0.0393953488372093,0.036178940568475454,0.6647932816537468,0.3701291989664083,0.1276571920757967,0.037832041343669257,0.0,0.44781330749354004,1.5563514211886305,0.322874677002584,1.8598708010335918,0.448139534883721,0.06931955211024979,0.27292635658914727,0.3671748492678725,0.27184431524547803,1.0655770887166236,0.11307493540051682,0.07096899224806201,0.32894851918107737,0.45660022148394247,0.4804082687338501,0.15396640826873384,0.6434768877404538,1.0837301587301587,0.05558713752512201,0.44363307493540055,0.299467700258398,0.25119509043927646,normal
E1,0.04747265268915223,0.37346855059252504,0.12758318140382863,0.02845123062898815,0.03611383318140383,0.5472003190519599,0.43397447584320875,0.12875189911880888,0.039325432999088424,0.0,0.30414368732907926,1.4494457611668186,0.2301800364630811,2.1905897903372833,0.5485802187784867,0.06889091461561835,0.22878247493163173,0.2960022282994024,0.15234560164083866,0.6831745670009116,0.24441203281677304,0.08056061987237921,0.1817775752051048,0.4110587316056778,0.29872652689152235,0.1696137192342753,0.4691679327458725,1.1482253548639145,0.036009824774637905,0.26190610756608934,0.2937657247037374,0.213244644484959,normal
E12,0.08548043326345213,0.27697064989517817,0.08249475890985324,0.01590775681341719,0.019664570230607966,0.40373165618448636,0.43270964360587005,0.11986373165618447,0.030412997903563943,0.0,0.2638797169811321,1.384454926624738,0.22610062893081762,1.7095136268343816,0.5499685534591195,0.04079664570230609,0.18901729559748426,0.3521208944793851,0.18363666142557653,0.7879716981132076,0.12090670859538781,0.06697327044025157,0.1691235284631511,0.35443545971847856,0.28073584905660376,0.1415985324947589,0.4193664104355928,1.01079739442947,0.04449685534591194,0.1993018867924528,0.27061844863731654,0.21639150943396224,normal
E16,0.06315139263252471,0.1846832884097035,0.14436994609164422,0.00539622641509434,0.022211927223719678,0.5248349056603774,0.20929245283018866,0.11539083557951484,0.04449730458221024,0.0,0.27243598382749323,1.4691185983827493,0.19622304582210243,1.906754716981132,0.3684591194968554,0.026886792452830193,0.1603436657681941,0.2989547768793052,0.1642991913746631,0.5186208445642407,0.11788409703504044,0.053776954177897573,0.10336823553804687,0.4203735078937235,0.3605363881401617,0.15370956873315364,0.4524543276430069,1.098182518290335,0.045914944594189884,0.27727493261455527,0.26153908355795147,0.18048854447439355,normal
E25,0.0391135881104034,0.19772292993630575,0.20595010615711257,0.025884288747346072,0.025210323779193203,0.5461226114649681,0.3997054140127389,0.1469117126680821,0.04514649681528663,0.0,0.27772558386411894,1.530803609341826,0.18221072186836518,2.2859628450106158,0.7244975230007077,0.05598549186128803,0.1777401804670913,0.32171384760556737,0.16652136411889598,0.8780608634111818,0.17737791932059446,0.07095010615711253,0.1574959170341336,0.44151728844404003,0.30681740976645433,0.1975716560509554,0.5725577966501532,1.169098422808614,0.04542462845010616,0.2806836518046709,0.3019617834394904,0.22036624203821653,normal
P02,0.06984126984126984,0.24932688865019692,0.08895184389545291,0.01729967776584318,0.04112826709631222,0.5850832438238454,0.35053347654851413,0.15492421530015513,0.040873970640887936,0.00022198353025420698,0.38506220909416405,2.225914070891515,0.24852130325814537,2.858696741854637,0.3630695787086764,0.12585392051557465,0.2652452559971357,0.4759406452639536,0.21686224489795916,0.7484896765723833,0.23487349325695192,0.08284908700322233,0.18869316147511633,0.4617068180655721,0.3512624418188328,0.19679287504475473,0.6293921311214545,1.5464520996368472,0.06125193937224011,0.3034092373791622,0.3084138918725384,0.24051378446115285,normal
P02H,0.029700841383608595,0.30288251791835463,0.09040744780305392,0.00696727952633219,0.04140308507323153,0.7981224680585853,0.24262231224680586,0.12716734185104392,0.027424119663446555,0.00019216786122364183,0.30565830476784045,1.6696435026488003,0.2405803988781552,2.295926456840137,0.28000934870676225,0.13298743118313075,0.21872701776254286,0.34122502683425093,0.13829171860392644,0.5534870676223123,0.18604653578477204,0.05603848550950451,0.11635783972960664,0.5518839870008458,0.4091062636335307,0.15415939545029603,0.3269665177798553,1.2109195120865424,0.07035109587618157,0.4033075724524774,0.3711006544094733,0.18445699594889373,normal
P03,0.0482259273136006,0.30589078306481826,0.12270887973023605,0.012436867740726864,0.04750702510303484,0.7380029973772948,0.27906706631697265,0.15993006119645312,0.03869838890970401,0.00124890720619458,0.32144436118396397,1.8387283626826527,0.2730348445110528,2.479951292618958,0.3228868490071188,0.12731235169226926,0.21595354065192957,0.3664918196577994,0.21176283252154365,0.5846103409516673,0.2083370800549519,0.06061633570625703,0.12567801250828603,0.5616828132526896,0.4638816035968528,0.18901742225552642,0.4596299071645643,1.2891007868115396,0.07987802339619501,0.3464765829898838,0.34793930310977894,0.20571702884975648,normal
P04,0.03816334440753045,0.09139036544850498,0.10809717607973421,0.028297674418604653,0.00774626245847176,0.24208056478405315,0.1943197674418605,0.09119435215946842,0.03952425249169435,0.0,0.1189455980066445,1.2731023255813951,0.10436710963455148,1.4997229235880398,0.31958250276854927,0.02101107419712071,0.06300705980066446,0.1539184200812108,0.10025664451827243,0.24636267995570324,0.06353100775193797,0.04895681063122924,0.04883082034244825,0.21547413383958233,0.16045382059800664,0.12470265780730895,0.3141594684385382,0.7936196013289036,0.016165374677002582,0.13631362126245847,0.1255581395348837,0.13502367109634553,normal
P04H,0.022704337899543375,0.08419434931506849,0.06452311643835618,0.00459041095890411,0.006824058219178082,0.3926198630136987,0.10978424657534246,0.05060159817351598,0.018601027397260272,0.0,0.06511044520547946,1.2205499999999998,0.0756515410958904,1.636168493150685,0.16562956621004568,0.019738584474885846,0.04496789383561644,0.07830060882800609,0.10081357020547944,0.13049143835616436,0.08014041095890412,0.03033904109589041,0.02695943097997893,0.2748003913894325,0.2592664383561644,0.06434674657534246,0.12186948249619481,0.7927049902152642,0.016644596651445964,0.2334178082191781,0.08409657534246576,0.09009803082191781,normal
