TF1,TF2,r,|r|,p
IRF4,MYC,0.7152706298225202,0.7152706298225202,2.1677273158282625e-11
IRF4,NFE2L2,0.6945259768015948,0.6945259768015948,1.3920758647517077e-10
IRF4,NFKB1,0.739339853527439,0.739339853527439,2.017357864255844e-12
IRF4,NR3C1,0.7381474614456239,0.7381474614456239,2.2829839652539124e-12
IRF4,PAX5,0.39220136414002654,0.39220136414002654,0.0012327619288561285
IRF4,PRDM1,0.5346118091619435,0.5346118091619435,4.490297585642983e-06
IRF4,RELA,0.6551359966854003,0.6551359966854003,3.1981565218410735e-09
IRF4,RUNX1,0.6781585015555971,0.6781585015555971,5.428100349398208e-10
IRF4,RUNX3,0.5999215877502497,0.5999215877502497,1.28217827273077e-07
IRF4,SMAD3,0.6203635076797633,0.6203635076797633,3.553645521440065e-08
IRF4,SPI1,0.5410840845955952,0.5410840845955952,3.262186903488207e-06
IRF4,STAT1,0.6410481212881939,0.6410481212881939,8.80044781512505e-09
IRF4,STAT4,0.6172621649002165,0.6172621649002165,4.342985240918376e-08
IRF4,TBX21,0.5871102835482644,0.5871102835482644,2.7404061835760577e-07
IRF4,TCF7,0.6915627933536322,0.6915627933536322,1.7927884775850406e-10
IRF4,TP53,0.7084279369861225,0.7084279369861225,4.0751033551944506e-11
IRF8,JUN,0.13828079001136429,0.13828079001136429,0.2719813896657584
IRF8,LEF1,0.6257941707323802,0.6257941707323802,2.48784528667425e-08
IRF8,MYC,0.46479390051983005,0.46479390051983005,9.595082007236592e-05
IRF8,NFE2L2,0.6549943644680993,0.6549943644680993,3.231721856070872e-09
IRF8,NFKB1,0.2657420340367968,0.2657420340367968,0.03239179811049463
IRF8,NR3C1,0.3685773853884301,0.3685773853884301,0.0025190768122827388
IRF8,PAX5,0.5605486459742365,0.5605486459742365,1.1975820671507598e-06
IRF8,PRDM1,0.34058073620621016,0.34058073620621016,0.005501679822350199
IRF8,RELA,0.33101640896933715,0.33101640896933715,0.007073939403150002
IRF8,RUNX1,0.5037932461200956,0.5037932461200956,1.8847020985698525e-05
IRF8,RUNX3,0.37291711857048415,0.37291711857048415,0.002217832462858254
IRF8,SMAD3,0.4073858785188989,0.4073858785188989,0.0007568812177070685
IRF8,SPI1,0.28445135414406575,0.28445135414406575,0.02164818220422075
IRF8,STAT1,0.8618373823349506,0.8618373823349506,3.0782481071552477e-20
IRF8,STAT4,0.531496006015236,0.531496006015236,5.224692747146891e-06
IRF8,TBX21,0.4517608864401593,0.4517608864401593,0.00015842923919029566
IRF8,TCF7,0.44320085389640185,0.44320085389640185,0.0002178637137398091
IRF8,TP53,0.49721572005061665,0.49721572005061665,2.515067812233254e-05
JUN,LEF1,0.09173014143906062,0.09173014143906062,0.4673873146685448
JUN,MYC,0.46858918178102815,0.46858918178102815,8.259652595649694e-05
JUN,NFE2L2,0.4447687627576283,0.4447687627576283,0.00020564412728764134
JUN,NFKB1,0.5780891259689912,0.5780891259689912,4.588834575992888e-07
JUN,NR3C1,0.7300041475071715,0.7300041475071715,5.221289033345447e-12
JUN,PAX5,0.1350159070482672,0.1350159070482672,0.2835712582445456
JUN,PRDM1,0.5072667040885247,0.5072667040885247,1.6144373469993148e-05
JUN,RELA,0.7243772333571553,0.7243772333571553,9.089985225795962e-12
JUN,RUNX1,0.05071598008049488,0.05071598008049488,0.6882655422521916
JUN,RUNX3,-0.10406913324135866,0.10406913324135866,0.40937401019622777
JUN,SMAD3,0.5119628906762301,0.5119628906762301,1.3060570528744738e-05
JUN,SPI1,0.5120405590183622,0.5120405590183622,1.3014520094815098e-05
JUN,STAT1,0.3040829999897768,0.3040829999897768,0.013791532532852554
JUN,STAT4,0.11516886231681572,0.11516886231681572,0.3609536008381248
JUN,TBX21,-0.19371596434242666,0.19371596434242666,0.12206337854038378
JUN,TCF7,0.5649331381971902,0.5649331381971902,9.471372334152623e-07
JUN,TP53,0.6846915684013754,0.6846915684013754,3.186687015101128e-10
LEF1,MYC,0.6533862867587831,0.6533862867587831,3.6370428161454598e-09
LEF1,NFE2L2,0.6560003401746538,0.6560003401746538,3.0003813009266916e-09
LEF1,NFKB1,0.4366848712588771,0.4366848712588771,0.00027610727992126574
